origin_doi,origin_sub_area,target_doi,target_sub_area
10.1016/j.engappai.2021.104647,ai,10.1016/j.asoc.2021.107437,ai
10.1016/j.ijhcs.2023.103046,chi,10.1016/j.asoc.2020.106130,ai
10.1007/s00500-022-07221-6,ai,10.1016/j.ijar.2021.06.008,ai
10.1007/s00500-022-07221-6,ai,10.1016/j.ijar.2020.07.002,ai
10.1007/s00500-022-07221-6,ai,10.1016/j.fss.2021.03.001,ai
10.1007/s00500-022-07221-6,ai,10.1016/j.fss.2020.12.018,ai
10.1016/j.ijar.2023.109012,ai,10.1007/s00500-022-07221-6,ai
10.1016/j.ijar.2020.07.004,ai,10.1016/j.ijar.2019.12.003,ai
10.1007/s11042-023-16566-5,graphics,10.1016/j.neucom.2021.01.036,ai
10.1016/j.neucom.2022.11.081,ai,10.1016/j.asoc.2020.106727,ai
10.1016/j.eswa.2023.120768,ai,10.1016/j.asoc.2020.107057,ai
10.1016/j.eswa.2022.119341,ai,10.1016/j.eswa.2020.113369,ai
10.1016/j.asoc.2023.110587,ai,10.1016/j.eswa.2020.113369,ai
10.1016/j.eswa.2022.117826,ai,10.1016/j.eswa.2020.113369,ai
10.1016/j.eswa.2022.118033,ai,10.1080/01605682.2018.1556570,or
10.1016/j.eswa.2022.118033,ai,10.1007/s11590-020-01651-7,or
10.1016/j.eswa.2022.118033,ai,10.1007/s10479-020-03617-5,or
10.1002/rob.22157,robotics,10.1109/TNNLS.2021.3124466,ai
10.1016/j.eswa.2022.116632,ai,10.1007/s11042-021-11153-y,graphics
10.1016/j.eswa.2022.119337,ai,10.1016/j.eswa.2022.116632,ai
10.1016/j.ins.2021.01.052,data,10.1007/s00521-019-04144-6,ai
10.1016/j.eswa.2022.119394,ai,10.1016/j.eswa.2020.114179,ai
10.1145/3449639.3459345,ai,10.1016/j.neucom.2020.10.062,ai
10.1145/3512290.3528695,ai,10.1145/3449639.3459345,ai
10.1016/j.neucom.2022.05.080,ai,10.1016/j.fss.2019.01.009,ai
10.1016/j.ins.2020.03.091,data,10.1016/j.fss.2019.01.009,ai
10.1016/j.fss.2022.10.003,ai,10.1016/j.fss.2019.01.009,ai
10.1016/j.fss.2022.12.017,ai,10.1016/j.fss.2019.01.009,ai
10.1016/j.fss.2021.09.005,ai,10.1016/j.fss.2019.01.009,ai
10.1016/j.fss.2020.03.019,ai,10.1016/j.fss.2019.01.009,ai
10.1016/j.fss.2019.01.024,ai,10.1016/j.fss.2019.01.009,ai
10.1016/j.neucom.2022.09.042,ai,10.1016/j.engappai.2021.104205,ai
10.1016/j.ijar.2023.109012,ai,10.1016/j.ijar.2019.10.004,ai
10.1007/s00500-023-07900-y,ai,10.1080/01605682.2019.1582590,or
10.1007/s00500-023-07900-y,ai,10.1016/j.eswa.2021.115638,ai
10.1007/s10618-023-00957-1,data,10.1016/j.knosys.2021.108101,ai
10.1016/j.asoc.2022.109969,ai,10.1016/j.knosys.2021.108101,ai
10.1016/j.eswa.2023.123098,ai,10.1016/j.asoc.2020.106771,ai
10.1016/j.asoc.2022.109865,ai,10.1016/j.patrec.2021.04.027,vision
10.1016/j.eswa.2022.118748,ai,10.1016/j.neucom.2020.10.062,ai
10.1145/3506860.3506978,ai,10.1145/3375462.3375495,ai
10.1145/3506860.3506978,ai,10.1145/3448139.3448147,ai
10.1145/3506860.3506978,ai,10.1145/3375462.3375496,ai
10.1016/j.ins.2021.07.033,data,10.1016/j.neucom.2019.11.076,ai
10.1007/s11042-020-10086-2,graphics,10.1016/j.neucom.2019.11.076,ai
10.1007/s10618-021-00762-8,data,10.1016/j.neucom.2019.11.076,ai
10.1145/3512290.3528695,ai,10.1016/j.neucom.2020.10.062,ai
10.1016/j.knosys.2022.109963,ai,10.1016/j.ins.2020.03.091,data
10.1016/j.knosys.2022.109963,ai,10.1016/j.inffus.2019.10.005,data
10.1016/j.knosys.2022.109963,ai,10.1016/j.fss.2021.09.005,ai
10.1016/j.knosys.2022.109963,ai,10.1016/j.fss.2019.01.024,ai
10.1016/j.eswa.2022.117238,ai,10.1016/j.eswa.2020.114103,ai
10.1016/j.fss.2022.10.019,ai,10.1007/s00500-020-05353-1,ai
10.1016/j.ijar.2023.109012,ai,10.1007/s00500-020-05353-1,ai
10.1016/j.ijar.2021.06.008,ai,10.1016/j.ijar.2020.07.002,ai
10.1016/j.ijar.2021.06.008,ai,10.1016/j.fss.2020.02.009,ai
10.1016/j.ins.2021.10.017,data,10.1016/j.ijar.2021.06.008,ai
10.1016/j.ijar.2022.05.010,ai,10.1016/j.ijar.2021.06.008,ai
10.1016/j.fss.2022.03.021,ai,10.1007/s00500-021-06719-9,ai
10.1016/j.eswa.2021.116110,ai,10.1016/j.comcom.2020.07.017,net
10.1016/j.eswa.2021.116456,ai,10.1016/j.eswa.2021.115403,ai
10.1016/j.fss.2022.10.003,ai,10.1016/j.inffus.2019.10.005,data
10.1007/s00521-023-09155-y,ai,10.1016/j.asoc.2022.109924,ai
10.1145/3477495.3531754,ir,10.1016/j.eswa.2022.116669,ai
10.1145/3512290.3528750,ai,10.1145/3512290.3528750,ai
10.1007/s10994-021-06111-6,data,10.1016/j.eswa.2020.113199,ai
10.1016/j.engappai.2023.106088,ai,10.1016/j.eswa.2020.113199,ai
10.1016/j.ins.2024.120300,data,10.1016/j.eswa.2020.113199,ai
10.1016/j.asoc.2023.110309,ai,10.1016/j.cor.2021.105643,or
10.1016/j.eswa.2023.120549,ai,10.1016/j.cor.2021.105321,or
10.1016/j.eswa.2023.120549,ai,10.1016/j.cor.2019.104873,or
10.1016/j.neunet.2021.07.034,ai,10.1109/TNNLS.2019.2938899,ai
10.1016/j.eswa.2023.122902,ai,10.1016/j.comcom.2020.06.005,net
10.1016/j.asoc.2023.110265,ai,10.1016/j.neucom.2022.01.075,ai
10.1145/3449639.3459296,ai,10.1016/j.asoc.2020.106512,ai
10.1016/j.fss.2022.03.021,ai,10.1007/s00500-020-04885-w,ai
10.1016/j.eswa.2023.119589,ai,10.1016/j.eswa.2020.113397,ai
10.1016/j.engappai.2023.107167,ai,10.1016/j.ins.2021.02.010,data
10.1016/j.engappai.2023.107167,ai,10.1016/j.fss.2021.03.001,ai
10.1007/s00521-023-09144-1,ai,10.1016/j.knosys.2021.107290,ai
10.1145/3583131.3590495,ai,10.1145/3512290.3528716,ai
10.1109/TNNLS.2021.3051384,ai,10.1016/j.asoc.2019.105970,ai
