id,doi,title,subfield_display_name,referenced_works_count,referenced_works,cited_by_api_url
W4403711440,10.48550/arxiv.2410.15677,Distance geometry with and without the graph,Computer Graphics and Computer-Aided Design,0,[],https://api.openalex.org/works?filter=cites:W4403711440
W4404317671,10.1109/visap64569.2024.00010,Numerical Existence: Reflections on Curating Artistic Data Visualization Exhibitions,Computer Graphics and Computer-Aided Design,7,"['https://openalex.org/W1823329909', 'https://openalex.org/W2096373083', 'https://openalex.org/W2155831461', 'https://openalex.org/W2172127625', 'https://openalex.org/W2787300767', 'https://openalex.org/W3202875110', 'https://openalex.org/W4234701817']",https://api.openalex.org/works?filter=cites:W4404317671
W4402957949,10.1145/3691573.3691580,Analysing Hybrid Neural and Ray Tracing Perception for Foveated Rendering,Computer Graphics and Computer-Aided Design,33,"['https://openalex.org/W1951724000', 'https://openalex.org/W1968607211', 'https://openalex.org/W2104409486', 'https://openalex.org/W2121367920', 'https://openalex.org/W2128213565', 'https://openalex.org/W2128398361', 'https://openalex.org/W2153273516', 'https://openalex.org/W2463595258', 'https://openalex.org/W2514361080', 'https://openalex.org/W2551546500', 'https://openalex.org/W2623808720', 'https://openalex.org/W2755643607', 'https://openalex.org/W2941909038', 'https://openalex.org/W2967036777', 'https://openalex.org/W3037801065', 'https://openalex.org/W3110610972', 'https://openalex.org/W3207594185', 'https://openalex.org/W3209109403', 'https://openalex.org/W3215769467', 'https://openalex.org/W4200150166', 'https://openalex.org/W4221151978', 'https://openalex.org/W4245933748', 'https://openalex.org/W4287254641', 'https://openalex.org/W4293811398', 'https://openalex.org/W4312325284', 'https://openalex.org/W4312679369', 'https://openalex.org/W4313451221', 'https://openalex.org/W4385318467', 'https://openalex.org/W4386071610', 'https://openalex.org/W4390642478', 'https://openalex.org/W4391031266', 'https://openalex.org/W4394871771', 'https://openalex.org/W4402716145']",https://api.openalex.org/works?filter=cites:W4402957949
W4386650403,10.1287/moor.2022.0104,Bounds on the Optimal Radius When Covering a Set with Minimum Radius Identical Disks,Computer Graphics and Computer-Aided Design,41,"['https://openalex.org/W1498180492', 'https://openalex.org/W1516415680', 'https://openalex.org/W1576475658', 'https://openalex.org/W1598648432', 'https://openalex.org/W1965907328', 'https://openalex.org/W1979361827', 'https://openalex.org/W1986854184', 'https://openalex.org/W1987995897', 'https://openalex.org/W1995833716', 'https://openalex.org/W1996888884', 'https://openalex.org/W1997548217', 'https://openalex.org/W2023341506', 'https://openalex.org/W2039539870', 'https://openalex.org/W2058738901', 'https://openalex.org/W2064582745', 'https://openalex.org/W2086969205', 'https://openalex.org/W2106503867', 'https://openalex.org/W2115854740', 'https://openalex.org/W2143568929', 'https://openalex.org/W2155865164', 'https://openalex.org/W2328722840', 'https://openalex.org/W2333442752', 'https://openalex.org/W2334357230', 'https://openalex.org/W2488917107', 'https://openalex.org/W2583246631', 'https://openalex.org/W2804455714', 'https://openalex.org/W2963067150', 'https://openalex.org/W2972854788', 'https://openalex.org/W2988894382', 'https://openalex.org/W3014094092', 'https://openalex.org/W3154160203', 'https://openalex.org/W3166722625', 'https://openalex.org/W3170639968', 'https://openalex.org/W4211181828', 'https://openalex.org/W4233336709', 'https://openalex.org/W4238924299', 'https://openalex.org/W4247473690', 'https://openalex.org/W4255170432', 'https://openalex.org/W4292408570', 'https://openalex.org/W4306175821', 'https://openalex.org/W646582900']",https://api.openalex.org/works?filter=cites:W4386650403
W4402659336,10.2514/6.2024-4487,Computational Study of Asymmetric Gaps,Computer Graphics and Computer-Aided Design,0,[],https://api.openalex.org/works?filter=cites:W4402659336
W4401049250,10.1190/geo2023-0581.1,Velocity model-based adapted meshes using optimal transport,Computer Graphics and Computer-Aided Design,78,"['https://openalex.org/W118271839', 'https://openalex.org/W1569090332', 'https://openalex.org/W1630432117', 'https://openalex.org/W1767787780', 'https://openalex.org/W1964442750', 'https://openalex.org/W1964753390', 'https://openalex.org/W1971334014', 'https://openalex.org/W1980782128', 'https://openalex.org/W1985438955', 'https://openalex.org/W1985578025', 'https://openalex.org/W2004757315', 'https://openalex.org/W2006025692', 'https://openalex.org/W2010357541', 'https://openalex.org/W2021160264', 'https://openalex.org/W2023546610', 'https://openalex.org/W2031589793', 'https://openalex.org/W2043112821', 'https://openalex.org/W2058838629', 'https://openalex.org/W2060025197', 'https://openalex.org/W2068013644', 'https://openalex.org/W2079101044', 'https://openalex.org/W2086370362', 'https://openalex.org/W2088167281', 'https://openalex.org/W2095120409', 'https://openalex.org/W2096413780', 'https://openalex.org/W2098065241', 'https://openalex.org/W2100245965', 'https://openalex.org/W2107979247', 'https://openalex.org/W2108608276', 'https://openalex.org/W2109656481', 'https://openalex.org/W2112075641', 'https://openalex.org/W2112280495', 'https://openalex.org/W2112311198', 'https://openalex.org/W2114969937', 'https://openalex.org/W2120435586', 'https://openalex.org/W2122180808', 'https://openalex.org/W2126979273', 'https://openalex.org/W2129151173', 'https://openalex.org/W2132883347', 'https://openalex.org/W2134159195', 'https://openalex.org/W2137425960', 'https://openalex.org/W2142382267', 'https://openalex.org/W2155978292', 'https://openalex.org/W2165512200', 'https://openalex.org/W2280569801', 'https://openalex.org/W2319853039', 'https://openalex.org/W2397428459', 'https://openalex.org/W2414347704', 'https://openalex.org/W2504830112', 'https://openalex.org/W2529906634', 'https://openalex.org/W2586372192', 'https://openalex.org/W2763634102', 'https://openalex.org/W2802873218', 'https://openalex.org/W2809633703', 'https://openalex.org/W2893859819', 'https://openalex.org/W2899168962', 'https://openalex.org/W2902284397', 'https://openalex.org/W2902510840', 'https://openalex.org/W2915245285', 'https://openalex.org/W2939423268', 'https://openalex.org/W2943131010', 'https://openalex.org/W2963607619', 'https://openalex.org/W3005238662', 'https://openalex.org/W3007362707', 'https://openalex.org/W3042747017', 'https://openalex.org/W309951602', 'https://openalex.org/W3122268420', 'https://openalex.org/W3133714627', 'https://openalex.org/W3192208924', 'https://openalex.org/W3202528256', 'https://openalex.org/W3206912677', 'https://openalex.org/W4206471589', 'https://openalex.org/W4229441040', 'https://openalex.org/W4234122316', 'https://openalex.org/W4311005214', 'https://openalex.org/W4313029060', 'https://openalex.org/W4362665158', 'https://openalex.org/W4386600933']",https://api.openalex.org/works?filter=cites:W4401049250
W4400969931,10.1145/3641234.3671087,Spectral Periodic Networks for Neural Rendering,Computer Graphics and Computer-Aided Design,4,"['https://openalex.org/W3109585842', 'https://openalex.org/W4312657759', 'https://openalex.org/W4312744764', 'https://openalex.org/W4313156152']",https://api.openalex.org/works?filter=cites:W4400969931
W4400813387,10.35819/remat2024v10iespecialid7102,Tool for simulating tumor growth in various regions of the human body in three dimensions,Computer Graphics and Computer-Aided Design,11,"['https://openalex.org/W1984007317', 'https://openalex.org/W2046013126', 'https://openalex.org/W2067354808', 'https://openalex.org/W2112090702', 'https://openalex.org/W2141045864', 'https://openalex.org/W2151137638', 'https://openalex.org/W2540204302', 'https://openalex.org/W2772625565', 'https://openalex.org/W3049467562', 'https://openalex.org/W4233857083', 'https://openalex.org/W4400813387']",https://api.openalex.org/works?filter=cites:W4400813387
W4400475493,10.1145/3641516.3664585,High Performance Graphics 2024 Conference,Computer Graphics and Computer-Aided Design,0,[],https://api.openalex.org/works?filter=cites:W4400475493
W4399876443,10.5753/jis.2024.4352,Foveated Path Culling: A mixed path tracing and radiance field approach for optimizing rendering in XR Displays,Computer Graphics and Computer-Aided Design,38,"['https://openalex.org/W1968607211', 'https://openalex.org/W1982661771', 'https://openalex.org/W2090401423', 'https://openalex.org/W2121367920', 'https://openalex.org/W2133665775', 'https://openalex.org/W2463595258', 'https://openalex.org/W2514361080', 'https://openalex.org/W2623808720', 'https://openalex.org/W2755643607', 'https://openalex.org/W2901572903', 'https://openalex.org/W2916638077', 'https://openalex.org/W2951412969', 'https://openalex.org/W3203806429', 'https://openalex.org/W3209109403', 'https://openalex.org/W3214925811', 'https://openalex.org/W3215589927', 'https://openalex.org/W3215769467', 'https://openalex.org/W4200150166', 'https://openalex.org/W4206428451', 'https://openalex.org/W4221151978', 'https://openalex.org/W4224297016', 'https://openalex.org/W4245933748', 'https://openalex.org/W4296405132', 'https://openalex.org/W4303444953', 'https://openalex.org/W4304112915', 'https://openalex.org/W4312234520', 'https://openalex.org/W4312325284', 'https://openalex.org/W4313451221', 'https://openalex.org/W4327723914', 'https://openalex.org/W4385318467', 'https://openalex.org/W4386066358', 'https://openalex.org/W4386071610', 'https://openalex.org/W4386075787', 'https://openalex.org/W4386083128', 'https://openalex.org/W4386099475', 'https://openalex.org/W4390642478', 'https://openalex.org/W4390872593', 'https://openalex.org/W4394598071']",https://api.openalex.org/works?filter=cites:W4399876443
W4399441308,10.1080/14241277.2024.2364517,"Configuring the Field of Character and Entertainment Licensing: The Licensing Expo and Other Sites of IP Management <b>Configuring the Field of Character and Entertainment Licensing: The Licensing Expo and Other Sites of IP Management</b> , by Avi Santo, New York, Taylor &amp; Francis Routledge, 2023, 282 pp., $49.49 (ebook), ISBN: 978-1-003-32115-6, ebook",Computer Graphics and Computer-Aided Design,3,"['https://openalex.org/W2921473391', 'https://openalex.org/W2922519787', 'https://openalex.org/W4231328919']",https://api.openalex.org/works?filter=cites:W4399441308
W4399118035,10.29183/2447-3073.mix2024.v10.n2.29-38,THE ENVIRONMENTAL DIMENSION IN NEW PRODUCTS DESIGN – EDUCATIONAL TRAINING IN INDUSTRIAL DESIGN,Computer Graphics and Computer-Aided Design,0,[],https://api.openalex.org/works?filter=cites:W4399118035
W4396225075,10.1007/s00371-024-03400-8,Triangular matrix-based lossless compression algorithm for 3D mesh connectivity,Computer Graphics and Computer-Aided Design,28,"['https://openalex.org/W1798731418', 'https://openalex.org/W1926534862', 'https://openalex.org/W1987609645', 'https://openalex.org/W1989305571', 'https://openalex.org/W1994211684', 'https://openalex.org/W2031982350', 'https://openalex.org/W2051208735', 'https://openalex.org/W2082042734', 'https://openalex.org/W2091797932', 'https://openalex.org/W2113615072', 'https://openalex.org/W2120323262', 'https://openalex.org/W2283829853', 'https://openalex.org/W2327627728', 'https://openalex.org/W2768739985', 'https://openalex.org/W2897394679', 'https://openalex.org/W2964287951', 'https://openalex.org/W3082270923', 'https://openalex.org/W3103721655', 'https://openalex.org/W3113844551', 'https://openalex.org/W4214671570', 'https://openalex.org/W4221158809', 'https://openalex.org/W4225320889', 'https://openalex.org/W4246759790', 'https://openalex.org/W4247477888', 'https://openalex.org/W4297330752', 'https://openalex.org/W4311805952', 'https://openalex.org/W4327600722', 'https://openalex.org/W4390650643']",https://api.openalex.org/works?filter=cites:W4396225075
W4395464917,10.1007/s00009-024-02644-x,Stable Maps from $$\#^n(S^1\times S^2)$$ to the Euclidean 3-Space,Computer Graphics and Computer-Aided Design,11,"['https://openalex.org/W1170691744', 'https://openalex.org/W157331947', 'https://openalex.org/W1964791081', 'https://openalex.org/W1971759379', 'https://openalex.org/W2010063562', 'https://openalex.org/W2044085757', 'https://openalex.org/W2065524928', 'https://openalex.org/W2962824664', 'https://openalex.org/W4236268190', 'https://openalex.org/W4243603645', 'https://openalex.org/W4253357848']",https://api.openalex.org/works?filter=cites:W4395464917
