id,doi,title,subfield_display_name,referenced_works_count,referenced_works,cited_by
W4403711440,10.48550/arxiv.2410.15677,Distance geometry with and without the graph,Computer Graphics and Computer-Aided Design,0,[],[]
W4404317671,10.1109/visap64569.2024.00010,Numerical Existence: Reflections on Curating Artistic Data Visualization Exhibitions,Computer Graphics and Computer-Aided Design,7,"['W1823329909', 'W2096373083', 'W2155831461', 'W2172127625', 'W2787300767', 'W3202875110', 'W4234701817']",[]
W4402957949,10.1145/3691573.3691580,Analysing Hybrid Neural and Ray Tracing Perception for Foveated Rendering,Computer Graphics and Computer-Aided Design,33,"['W1951724000', 'W1968607211', 'W2104409486', 'W2121367920', 'W2128213565', 'W2128398361', 'W2153273516', 'W2463595258', 'W2514361080', 'W2551546500', 'W2623808720', 'W2755643607', 'W2941909038', 'W2967036777', 'W3037801065', 'W3110610972', 'W3207594185', 'W3209109403', 'W3215769467', 'W4200150166', 'W4221151978', 'W4245933748', 'W4287254641', 'W4293811398', 'W4312325284', 'W4312679369', 'W4313451221', 'W4385318467', 'W4386071610', 'W4390642478', 'W4391031266', 'W4394871771', 'W4402716145']",[]
W4386650403,10.1287/moor.2022.0104,Bounds on the Optimal Radius When Covering a Set with Minimum Radius Identical Disks,Computer Graphics and Computer-Aided Design,41,"['W1498180492', 'W1516415680', 'W1576475658', 'W1598648432', 'W1965907328', 'W1979361827', 'W1986854184', 'W1987995897', 'W1995833716', 'W1996888884', 'W1997548217', 'W2023341506', 'W2039539870', 'W2058738901', 'W2064582745', 'W2086969205', 'W2106503867', 'W2115854740', 'W2143568929', 'W2155865164', 'W2328722840', 'W2333442752', 'W2334357230', 'W2488917107', 'W2583246631', 'W2804455714', 'W2963067150', 'W2972854788', 'W2988894382', 'W3014094092', 'W3154160203', 'W3166722625', 'W3170639968', 'W4211181828', 'W4233336709', 'W4238924299', 'W4247473690', 'W4255170432', 'W4292408570', 'W4306175821', 'W646582900']",['W4362553374']
W4402659336,10.2514/6.2024-4487,Computational Study of Asymmetric Gaps,Computer Graphics and Computer-Aided Design,0,[],[]
W4401049250,10.1190/geo2023-0581.1,Velocity model-based adapted meshes using optimal transport,Computer Graphics and Computer-Aided Design,78,"['W118271839', 'W1569090332', 'W1630432117', 'W1767787780', 'W1964442750', 'W1964753390', 'W1971334014', 'W1980782128', 'W1985438955', 'W1985578025', 'W2004757315', 'W2006025692', 'W2010357541', 'W2021160264', 'W2023546610', 'W2031589793', 'W2043112821', 'W2058838629', 'W2060025197', 'W2068013644', 'W2079101044', 'W2086370362', 'W2088167281', 'W2095120409', 'W2096413780', 'W2098065241', 'W2100245965', 'W2107979247', 'W2108608276', 'W2109656481', 'W2112075641', 'W2112280495', 'W2112311198', 'W2114969937', 'W2120435586', 'W2122180808', 'W2126979273', 'W2129151173', 'W2132883347', 'W2134159195', 'W2137425960', 'W2142382267', 'W2155978292', 'W2165512200', 'W2280569801', 'W2319853039', 'W2397428459', 'W2414347704', 'W2504830112', 'W2529906634', 'W2586372192', 'W2763634102', 'W2802873218', 'W2809633703', 'W2893859819', 'W2899168962', 'W2902284397', 'W2902510840', 'W2915245285', 'W2939423268', 'W2943131010', 'W2963607619', 'W3005238662', 'W3007362707', 'W3042747017', 'W309951602', 'W3122268420', 'W3133714627', 'W3192208924', 'W3202528256', 'W3206912677', 'W4206471589', 'W4229441040', 'W4234122316', 'W4311005214', 'W4313029060', 'W4362665158', 'W4386600933']",[]
W4400969931,10.1145/3641234.3671087,Spectral Periodic Networks for Neural Rendering,Computer Graphics and Computer-Aided Design,4,"['W3109585842', 'W4312657759', 'W4312744764', 'W4313156152']",[]
W4400813387,10.35819/remat2024v10iespecialid7102,Tool for simulating tumor growth in various regions of the human body in three dimensions,Computer Graphics and Computer-Aided Design,11,"['W1984007317', 'W2046013126', 'W2067354808', 'W2112090702', 'W2141045864', 'W2151137638', 'W2540204302', 'W2772625565', 'W3049467562', 'W4233857083', 'W4400813387']","['W4400813387', 'W4400818464']"
W4400475493,10.1145/3641516.3664585,High Performance Graphics 2024 Conference,Computer Graphics and Computer-Aided Design,0,[],['W2941752300']
W4399876443,10.5753/jis.2024.4352,Foveated Path Culling: A mixed path tracing and radiance field approach for optimizing rendering in XR Displays,Computer Graphics and Computer-Aided Design,38,"['W1968607211', 'W1982661771', 'W2090401423', 'W2121367920', 'W2133665775', 'W2463595258', 'W2514361080', 'W2623808720', 'W2755643607', 'W2901572903', 'W2916638077', 'W2951412969', 'W3203806429', 'W3209109403', 'W3214925811', 'W3215589927', 'W3215769467', 'W4200150166', 'W4206428451', 'W4221151978', 'W4224297016', 'W4245933748', 'W4296405132', 'W4303444953', 'W4304112915', 'W4312234520', 'W4312325284', 'W4313451221', 'W4327723914', 'W4385318467', 'W4386066358', 'W4386071610', 'W4386075787', 'W4386083128', 'W4386099475', 'W4390642478', 'W4390872593', 'W4394598071']",[]
W4399441308,10.1080/14241277.2024.2364517,"Configuring the Field of Character and Entertainment Licensing: The Licensing Expo and Other Sites of IP Management <b>Configuring the Field of Character and Entertainment Licensing: The Licensing Expo and Other Sites of IP Management</b> , by Avi Santo, New York, Taylor &amp; Francis Routledge, 2023, 282 pp., $49.49 (ebook), ISBN: 978-1-003-32115-6, ebook",Computer Graphics and Computer-Aided Design,3,"['W2921473391', 'W2922519787', 'W4231328919']",[]
W4399118035,10.29183/2447-3073.mix2024.v10.n2.29-38,THE ENVIRONMENTAL DIMENSION IN NEW PRODUCTS DESIGN – EDUCATIONAL TRAINING IN INDUSTRIAL DESIGN,Computer Graphics and Computer-Aided Design,0,[],[]
W4396225075,10.1007/s00371-024-03400-8,Triangular matrix-based lossless compression algorithm for 3D mesh connectivity,Computer Graphics and Computer-Aided Design,28,"['W1798731418', 'W1926534862', 'W1987609645', 'W1989305571', 'W1994211684', 'W2031982350', 'W2051208735', 'W2082042734', 'W2091797932', 'W2113615072', 'W2120323262', 'W2283829853', 'W2327627728', 'W2768739985', 'W2897394679', 'W2964287951', 'W3082270923', 'W3103721655', 'W3113844551', 'W4214671570', 'W4221158809', 'W4225320889', 'W4246759790', 'W4247477888', 'W4297330752', 'W4311805952', 'W4327600722', 'W4390650643']",[]
W4395464917,10.1007/s00009-024-02644-x,Stable Maps from $$\#^n(S^1\times S^2)$$ to the Euclidean 3-Space,Computer Graphics and Computer-Aided Design,11,"['W1170691744', 'W157331947', 'W1964791081', 'W1971759379', 'W2010063562', 'W2044085757', 'W2065524928', 'W2962824664', 'W4236268190', 'W4243603645', 'W4253357848']",[]
